
[Name]
finFluid2

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
-2.42519192e-02, 1.21167107e-02, 9.21509415e-03, 3.19815918e+02
-2.34662518e-02, 1.32337958e-02, 5.80903236e-03, 3.18569397e+02
-2.13367362e-02, 1.33066773e-02, 1.03557212e-02, 3.18945313e+02
-2.45081317e-02, -2.64354516e-02, 7.49287102e-03, 3.00000092e+02
-2.10975371e-02, 1.44816777e-02, 5.53119602e-03, 3.18011963e+02
-1.94195230e-02, 1.44446110e-02, 8.17315653e-03, 3.18104706e+02
-1.96008794e-02, 1.43974852e-02, 7.09565962e-03, 3.17567993e+02
-2.33124513e-02, 1.44398473e-02, 5.71115781e-03, 3.19144775e+02
-2.05095075e-02, 1.42361755e-02, 1.02280322e-02, 3.19871246e+02
-2.42528450e-02, 1.43835330e-02, 9.64251254e-03, 3.22221771e+02
-1.94548517e-02, -2.67033651e-02, 8.28243792e-03, 3.00000031e+02
-2.44689882e-02, 1.42917754e-02, 7.41816126e-03, 3.19796997e+02
-2.45187636e-02, -2.78038345e-02, 7.69150211e-03, 3.00000000e+02
-2.44450923e-02, -2.78038345e-02, 8.67887400e-03, 3.00000000e+02
-1.97707023e-02, 1.52360098e-02, 6.22515008e-03, 3.19030548e+02
-1.96066722e-02, 1.52585078e-02, 9.40159801e-03, 3.20170532e+02
-1.94076542e-02, -2.78990492e-02, 8.25550687e-03, 3.00000000e+02
-1.95549112e-02, -2.78038345e-02, 7.32112629e-03, 3.00000000e+02
-2.07510963e-02, -2.78038327e-02, 5.79102524e-03, 3.00000000e+02
-1.99171193e-02, -2.78376788e-02, 6.46994449e-03, 3.00000000e+02
-2.01364718e-02, -2.77450290e-02, 9.05551203e-03, 3.00000000e+02
-2.27175597e-02, -2.78577525e-02, 5.62147237e-03, 3.00000000e+02
-2.16915011e-02, -2.78038364e-02, 5.48123708e-03, 3.00000000e+02
-2.40805652e-02, -2.78064329e-02, 9.60129965e-03, 3.00000000e+02
-2.32477281e-02, -2.78036296e-02, 1.02075245e-02, 3.00000000e+02
-2.13670563e-02, -2.77306847e-02, 1.05055040e-02, 3.00000000e+02
-2.36585643e-02, -2.77942456e-02, 5.96449198e-03, 3.00000000e+02
-2.42089760e-02, -2.78038327e-02, 6.75109588e-03, 3.00000000e+02
-2.23892406e-02, 1.52497375e-02, 1.08227823e-02, 3.22370636e+02
-2.04594992e-02, -2.77853627e-02, 1.00044049e-02, 3.00000000e+02
-1.94062926e-02, 1.61614213e-02, 8.00560601e-03, 3.19268066e+02
-2.47160904e-02, 1.52370175e-02, 8.43968708e-03, 3.21954956e+02
-2.35187095e-02, 1.63242146e-02, 5.76682575e-03, 3.20858490e+02
-2.11863574e-02, 1.62298176e-02, 5.49369166e-03, 3.19375305e+02
-2.15664059e-02, 1.56262331e-02, 1.06815165e-02, 3.21541687e+02
-1.96304359e-02, 1.64526496e-02, 6.89788582e-03, 3.19215088e+02
-2.33687889e-02, 1.63795128e-02, 1.02462843e-02, 3.22421967e+02
-2.47758832e-02, 1.64582841e-02, 7.92152528e-03, 3.23600861e+02
-2.38125194e-02, -3.07341460e-02, 9.02504381e-03, 3.00000000e+02
-2.15348918e-02, 1.65425465e-02, 1.06552141e-02, 3.22285706e+02
-2.41786577e-02, 1.68278497e-02, 6.43808674e-03, 3.21600800e+02
-2.11263299e-02, 1.71962306e-02, 1.06084328e-02, 3.23055756e+02
-2.11453829e-02, 1.73050109e-02, 5.54520963e-03, 3.20101196e+02
-1.93966255e-02, 1.73121076e-02, 8.12031608e-03, 3.20374359e+02
-2.42787767e-02, 1.76774971e-02, 9.16787051e-03, 3.23295929e+02
-2.00886801e-02, -3.21849883e-02, 8.20118468e-03, 3.00000000e+02
-1.98174194e-02, 1.80861969e-02, 9.06638242e-03, 3.21595306e+02
-2.31004506e-02, 1.80696305e-02, 1.05127692e-02, 3.24149292e+02
-2.35506427e-02, -3.35741229e-02, 7.96477962e-03, 3.00000000e+02
-2.29251534e-02, -3.37442644e-02, 9.81797744e-03, 3.00000000e+02
-2.01213434e-02, -3.38481329e-02, 8.81610345e-03, 3.00000000e+02
-2.44357679e-02, 1.82010699e-02, 6.95989979e-03, 3.23037079e+02
-2.37438064e-02, 1.83186922e-02, 6.01852825e-03, 3.22363525e+02
-2.26966459e-02, -3.37494947e-02, 6.24857657e-03, 3.00000000e+02
-2.09123809e-02, 1.84316654e-02, 5.62540023e-03, 3.20699890e+02
-2.02915501e-02, -3.37464400e-02, 7.14260619e-03, 3.00000000e+02
-2.16136910e-02, 1.83654092e-02, 1.04557602e-02, 3.23470245e+02
