Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
-8.87205242e-05, 1.30593414e+01, 3.10318952e-04, -9.99999978e-03, -6.39832113e-03, -8.10358021e-03
-2.40295369e-04, 1.29903049e+01, 5.65451430e-03, -9.99999978e-03, -6.76235883e-03, -8.68297741e-03
-2.30054662e-04, 1.29982443e+01, 6.21421123e-03, -9.99999978e-03, -6.07857062e-03, -8.78155790e-03
-1.53112211e-04, 1.30322514e+01, 3.20979580e-03, -9.99999978e-03, -6.10253494e-03, -8.44382867e-03
-2.95892969e-04, 1.29982481e+01, 6.00976916e-03, -9.99999978e-03, -5.91795845e-03, -8.77399649e-03
9.27309797e-04, 1.30555439e+01, 2.21284805e-04, -9.99999978e-03, -8.19475297e-03, -7.94108678e-03
1.04579842e-03, 1.30385780e+01, 5.60826738e-04, -9.99999978e-03, -9.02507082e-03, -7.99296051e-03
1.59703183e-03, 1.29502916e+01, -6.74034562e-03, -9.99999978e-03, -8.58473871e-03, -7.18097854e-03
-4.48861683e-05, 1.30650282e+01, -5.65154129e-04, -9.99999978e-03, -6.37386646e-03, -8.00677482e-03
2.83047208e-04, 1.30537558e+01, -1.33104855e-03, -9.99999978e-03, -6.44940510e-03, -7.85602350e-03
-3.67402215e-03, 1.21839962e+01, 4.69839685e-02, -9.99999978e-03, -2.42431872e-02, -9.15520731e-03
-4.51759249e-03, 1.21166115e+01, 5.43245450e-02, -9.99999978e-03, -2.41159238e-02, -9.36358236e-03
-2.60752905e-03, 1.22230473e+01, 4.29589003e-02, -9.99999978e-03, -2.39403099e-02, -9.08009149e-03
-6.24497363e-04, 1.30717850e+01, 2.06023268e-03, -9.99999978e-03, -4.76948731e-03, -8.28742515e-03
3.15628946e-04, 1.24818764e+01, -1.52498567e-02, -9.99999978e-03, -2.17818934e-02, -7.59353116e-03
-8.12439248e-06, 1.24849911e+01, -5.81602473e-03, -9.99999978e-03, -2.18096450e-02, -7.86617212e-03
-1.41000783e-03, 1.24682655e+01, -3.87928076e-03, -9.99999978e-03, -2.23821457e-02, -7.93609116e-03
-7.12230103e-04, 1.24546576e+01, 2.26886272e-02, -9.99999978e-03, -2.19540931e-02, -8.71604774e-03
-1.41615141e-03, 1.24631004e+01, 2.52130139e-03, -9.99999978e-03, -2.23514326e-02, -8.12556036e-03
-1.33680180e-04, 1.24677935e+01, 2.33148709e-02, -9.99999978e-03, -2.17990242e-02, -8.72807205e-03
2.20708316e-04, 1.28272610e+01, 3.56104318e-03, -9.99999978e-03, -1.51953641e-02, -8.22389126e-03
-1.31731248e-03, 1.23572865e+01, 8.50548409e-03, -9.99999978e-03, -2.34373938e-02, -8.26590229e-03
1.25540374e-03, 1.27406445e+01, 9.94586851e-04, -9.99999978e-03, -1.79535784e-02, -8.07764474e-03
-2.59243837e-03, 1.26511288e+01, 1.99784636e-02, -9.99999978e-03, -1.83698758e-02, -8.81054532e-03
-1.81228574e-03, 1.26946917e+01, 1.52570885e-02, -9.99999978e-03, -1.75642204e-02, -8.69821850e-03
1.96897978e-04, 1.29633970e+01, -2.97228631e-04, -9.99999978e-03, -1.17463851e-02, -8.06919672e-03
-3.97932075e-04, 1.29304228e+01, 2.55379709e-04, -9.99999978e-03, -1.28480652e-02, -8.05123616e-03
-2.39232031e-04, 1.29321718e+01, -5.72698598e-04, -9.99999978e-03, -1.28566241e-02, -7.99242966e-03
3.97136406e-04, 1.29664497e+01, -1.26029784e-03, -9.99999978e-03, -1.17208529e-02, -8.00263695e-03
-3.80384736e-05, 1.29264603e+01, -1.97687815e-03, -9.99999978e-03, -1.28081627e-02, -7.89822638e-03
5.63326525e-04, 1.29567327e+01, -2.77868984e-03, -9.99999978e-03, -1.17746554e-02, -7.89539050e-03
2.00031395e-03, 1.27400160e+01, -1.47801405e-03, -9.99999978e-03, -1.80602875e-02, -7.96683319e-03
