Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
-7.71158002e-03, 1.03655872e+01, 1.54335983e-02, -9.99999978e-03, 5.61245158e-03, -1.24933273e-02
4.96187340e-03, 1.03387461e+01, -4.40492388e-03, -9.99999978e-03, 7.91480113e-03, -1.24847787e-02
-7.63525162e-03, 1.03474464e+01, 1.84835345e-02, -9.99999978e-03, 9.11244471e-03, -1.24933273e-02
9.73410159e-03, 1.03520584e+01, -5.81999775e-03, -9.99999978e-03, 4.15161159e-03, -1.24931708e-02
-9.41777416e-03, 1.03895874e+01, 1.55020002e-02, -9.99999978e-03, 5.92158595e-03, -1.24795819e-02
5.99191291e-03, 1.03398228e+01, -6.97688665e-03, -9.99999978e-03, 7.65194744e-03, -1.24931168e-02
-8.41272436e-03, 1.03695259e+01, 1.91533566e-02, -9.99999978e-03, 9.42159351e-03, -1.24795800e-02
-6.42659515e-03, 1.03847208e+01, 8.41021538e-03, -9.99999978e-03, 6.22555334e-03, -1.24880271e-02
1.21745339e-03, 1.03522177e+01, -1.16475988e-02, -9.99999978e-03, 6.97479537e-03, -1.24785630e-02
-4.96175885e-03, 1.03638000e+01, 1.14233699e-02, -9.99999978e-03, 9.72556509e-03, -1.24880262e-02
3.77628021e-03, 1.03274488e+01, -9.87660605e-03, -9.99999978e-03, 1.04747992e-02, -1.24785658e-02
-9.17078927e-03, 9.02485085e+00, 1.28894420e-02, -9.99999978e-03, 5.19684702e-03, -1.26124769e-02
4.51760367e-03, 9.04631424e+00, -2.45903595e-03, -9.99999978e-03, 4.63317661e-03, -1.26182875e-02
-9.74962674e-03, 9.01120949e+00, 1.36046652e-02, -9.99999978e-03, 8.69685598e-03, -1.26124714e-02
2.19949568e-03, 9.03427124e+00, -2.31935689e-03, -9.99999978e-03, 8.13309103e-03, -1.26182744e-02
7.99200032e-03, 9.05562687e+00, -5.69288991e-03, -9.99999978e-03, 4.41458588e-03, -1.26096085e-02
-9.09559894e-03, 9.06889153e+00, 1.85994674e-02, -9.99999978e-03, 5.61198592e-03, -1.26181804e-02
5.29399142e-03, 9.04386234e+00, -5.98555151e-03, -9.99999978e-03, 7.91458972e-03, -1.26095861e-02
-8.70706327e-03, 9.05223465e+00, 2.07538642e-02, -9.99999978e-03, 9.11197998e-03, -1.26181804e-02
9.81121976e-03, 9.05599117e+00, -8.57846905e-03, -9.99999978e-03, 4.15005442e-03, -1.26181906e-02
-1.03718750e-02, 9.09471035e+00, 1.85827501e-02, -9.99999978e-03, 5.92128839e-03, -1.26042478e-02
6.50229771e-03, 9.04462814e+00, -9.43097007e-03, -9.99999978e-03, 7.65030785e-03, -1.26181515e-02
-9.10319854e-03, 9.07625008e+00, 2.11678240e-02, -9.99999978e-03, 9.42129269e-03, -1.26042459e-02
-6.89537171e-03, 9.09043026e+00, 8.69163126e-03, -9.99999978e-03, 6.22469746e-03, -1.26128998e-02
1.87189307e-03, 9.05665779e+00, -1.61533039e-02, -9.99999978e-03, 6.97458303e-03, -1.26032270e-02
-5.18866442e-03, 9.07110977e+00, 1.08422320e-02, -9.99999978e-03, 9.72470455e-03, -1.26128998e-02
4.52334527e-03, 9.03360844e+00, -1.47607354e-02, -9.99999978e-03, 1.04745850e-02, -1.26032280e-02
-1.01982616e-02, 7.90643692e+00, 1.53632741e-02, -9.99999978e-03, 5.19666960e-03, -1.27163567e-02
4.05609934e-03, 7.93016434e+00, -3.38302506e-03, -9.99999978e-03, 4.63424297e-03, -1.27224550e-02
-1.04701277e-02, 7.89408875e+00, 1.58125963e-02, -9.99999978e-03, 8.69667530e-03, -1.27163511e-02
2.14059209e-03, 7.91927385e+00, -3.29540903e-03, -9.99999978e-03, 8.13417789e-03, -1.27224457e-02
7.63448747e-03, 7.94008255e+00, -6.88975397e-03, -9.99999978e-03, 4.41440567e-03, -1.27136083e-02
-9.96316783e-03, 7.95201635e+00, 2.21497398e-02, -9.99999978e-03, 5.61159896e-03, -1.27222221e-02
5.34265861e-03, 7.92945004e+00, -7.08161062e-03, -9.99999978e-03, 7.91440718e-03, -1.27135906e-02
-9.33048595e-03, 7.93692732e+00, 2.36177295e-02, -9.99999978e-03, 9.11159255e-03, -1.27222221e-02
9.57159512e-03, 7.94009876e+00, -1.10086696e-02, -9.99999978e-03, 4.14877571e-03, -1.27223721e-02
-1.07478425e-02, 7.97898722e+00, 2.19738726e-02, -9.99999978e-03, 5.92102204e-03, -1.27081340e-02
6.69205422e-03, 7.92981243e+00, -1.15789715e-02, -9.99999978e-03, 7.64895789e-03, -1.27223432e-02
-9.29375365e-03, 7.96221447e+00, 2.37426627e-02, -9.99999978e-03, 9.42102447e-03, -1.27081340e-02
-7.09827431e-03, 7.97538614e+00, 8.88469536e-03, -9.99999978e-03, 6.22397568e-03, -1.27169583e-02
2.35827966e-03, 7.94120836e+00, -2.09755749e-02, -9.99999978e-03, 6.97436091e-03, -1.27071124e-02
-5.23826526e-03, 7.95777559e+00, 1.03642438e-02, -9.99999978e-03, 9.72397998e-03, -1.27169583e-02
5.03791217e-03, 7.92006302e+00, -1.99518278e-02, -9.99999978e-03, 1.04743615e-02, -1.27071133e-02
-1.04307868e-02, 6.95090008e+00, 1.80426538e-02, -9.99999978e-03, 5.19652385e-03, -1.28029212e-02
3.58464872e-03, 6.97601986e+00, -4.06472757e-03, -9.99999978e-03, 4.63510165e-03, -1.28092589e-02
-1.04844496e-02, 6.93983650e+00, 1.82862077e-02, -9.99999978e-03, 8.69652722e-03, -1.28029175e-02
1.99773582e-03, 6.96627045e+00, -4.02659364e-03, -9.99999978e-03, 8.13505799e-03, -1.28092533e-02
7.07208924e-03, 6.98621082e+00, -7.61982473e-03, -9.99999978e-03, 4.41425806e-03, -1.28002716e-02
-1.02380691e-02, 6.99633312e+00, 2.59427056e-02, -9.99999978e-03, 5.61128277e-03, -1.28089217e-02
5.12026949e-03, 6.97670174e+00, -7.72556709e-03, -9.99999978e-03, 7.91425817e-03, -1.28002604e-02
-9.44923237e-03, 6.98278189e+00, 2.68704034e-02, -9.99999978e-03, 9.11127776e-03, -1.28089227e-02
9.04151704e-03, 6.98574924e+00, -1.30903460e-02, -9.99999978e-03, 4.14774194e-03, -1.28091881e-02
-1.05935838e-02, 7.02351093e+00, 2.54880283e-02, -9.99999978e-03, 5.92079945e-03, -1.27947060e-02
6.54039066e-03, 6.97654247e+00, -1.34073421e-02, -9.99999978e-03, 7.64786359e-03, -1.28091695e-02
-9.04741138e-03, 7.00840473e+00, 2.66101453e-02, -9.99999978e-03, 9.42080095e-03, -1.27947051e-02
-7.16526341e-03, 7.02061844e+00, 8.92809592e-03, -9.99999978e-03, 6.22338429e-03, -1.28036728e-02
2.50470149e-03, 6.98698425e+00, -2.59977356e-02, -9.99999978e-03, 6.97417278e-03, -1.27936834e-02
-5.24794590e-03, 7.00471067e+00, 9.87242907e-03, -9.99999978e-03, 9.72338673e-03, -1.28036719e-02
5.13787987e-03, 6.96777487e+00, -2.53008679e-02, -9.99999978e-03, 1.04741734e-02, -1.27936844e-02
-9.84839723e-03, 6.13931084e+00, 2.05755755e-02, -9.99999978e-03, 5.19642513e-03, -1.28750578e-02
3.16589186e-03, 6.16475964e+00, -4.52210475e-03, -9.99999978e-03, 4.63582668e-03, -1.28815956e-02
-9.77057405e-03, 6.12944794e+00, 2.06624940e-02, -9.99999978e-03, 8.69642664e-03, -1.28750550e-02
1.82886049e-03, 6.15606689e+00, -4.53113765e-03, -9.99999978e-03, 8.13579839e-03, -1.28815910e-02
6.38626050e-03, 6.17487431e+00, -7.92321190e-03, -9.99999978e-03, 4.41416167e-03, -1.28724910e-02
-9.95196030e-03, 6.18281555e+00, 2.94761956e-02, -9.99999978e-03, 5.61105181e-03, -1.28811719e-02
4.69728187e-03, 6.16640568e+00, -7.95738678e-03, -9.99999978e-03, 7.91416131e-03, -1.28724836e-02
-9.09066759e-03, 6.17070484e+00, 2.99848802e-02, -9.99999978e-03, 9.11104865e-03, -1.28811719e-02
8.28768499e-03, 6.17383575e+00, -1.47081036e-02, -9.99999978e-03, 4.14691959e-03, -1.28815342e-02
-1.00429179e-02, 6.20915890e+00, 2.86287200e-02, -9.99999978e-03, 5.92064625e-03, -1.28668509e-02
6.09006081e-03, 6.16562462e+00, -1.48081612e-02, -9.99999978e-03, 7.64699187e-03, -1.28815230e-02
-8.48850608e-03, 6.19562435e+00, 2.92440280e-02, -9.99999978e-03, 9.42064635e-03, -1.28668509e-02
-7.19149783e-03, 6.20695877e+00, 8.76564439e-03, -9.99999978e-03, 6.22292701e-03, -1.28759341e-02
2.23610527e-03, 6.17483997e+00, -3.06699127e-02, -9.99999978e-03, 6.97405264e-03, -1.28658246e-02
-5.29898982e-03, 6.19267082e+00, 9.28954873e-03, -9.99999978e-03, 9.72292759e-03, -1.28759351e-02
4.76082554e-03, 6.15750313e+00, -3.02419439e-02, -9.99999978e-03, 1.04740523e-02, -1.28658246e-02
-8.60296562e-03, 5.45325041e+00, 2.20439713e-02, -9.99999978e-03, 5.19634411e-03, -1.29351700e-02
2.84077600e-03, 5.47790766e+00, -4.67694504e-03, -9.99999978e-03, 4.63641807e-03, -1.29418746e-02
-8.46479274e-03, 5.44447231e+00, 2.20288634e-02, -9.99999978e-03, 8.69634375e-03, -1.29351690e-02
1.68477651e-03, 5.47016001e+00, -4.72281314e-03, -9.99999978e-03, 8.13640468e-03, -1.29418727e-02
5.65868197e-03, 5.48762560e+00, -7.76478741e-03, -9.99999978e-03, 4.41408297e-03, -1.29326731e-02
-9.22071375e-03, 5.49318314e+00, 3.15563753e-02, -9.99999978e-03, 5.61086275e-03, -1.29413791e-02
4.16433578e-03, 5.48008919e+00, -7.74895865e-03, -9.99999978e-03, 7.91408308e-03, -1.29326694e-02
-8.35644267e-03, 5.48238277e+00, 3.17873210e-02, -9.99999978e-03, 9.11086146e-03, -1.29413791e-02
7.37135950e-03, 5.48595333e+00, -1.54375881e-02, -9.99999978e-03, 4.14624624e-03, -1.29418224e-02
-9.27427132e-03, 5.51766634e+00, 3.03707533e-02, -9.99999978e-03, 5.92051772e-03, -1.29269715e-02
5.40083554e-03, 5.47862244e+00, -1.53845334e-02, -9.99999978e-03, 7.64628127e-03, -1.29418168e-02
-7.77752558e-03, 5.50557518e+00, 3.06471791e-02, -9.99999978e-03, 9.42051783e-03, -1.29269715e-02
-7.18946382e-03, 5.51608419e+00, 8.37943703e-03, -9.99999978e-03, 6.22254889e-03, -1.29361525e-02
1.56830333e-03, 5.48636913e+00, -3.35825160e-02, -9.99999978e-03, 6.97395066e-03, -1.29259415e-02
-5.38435066e-03, 5.50329494e+00, 8.62197299e-03, -9.99999978e-03, 9.72255040e-03, -1.29361525e-02
3.94051056e-03, 5.47079754e+00, -3.33376899e-02, -9.99999978e-03, 1.04739498e-02, -1.29259424e-02
-6.94371480e-03, 4.87557411e+00, 2.12396551e-02, -9.99999978e-03, 5.19627659e-03, -1.29852630e-02
