"filename", "language", "CSV", "comment", "blank", "total"
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP98_solidYZ2_3,000-3,000-12,000-12,000-10,000-10,000-11,000-11,000.csv", "CSV", 2136, 0, 3, 2139
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP99_solidXZ_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 2871, 0, 3, 2874
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP99_solidYZ1_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 1824, 0, 3, 1827
"/dLight/modulusDesignOptimization/ansys/validators - Copy/solid/DP99_solidYZ2_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 1876, 0, 3, 1879
"/dLight/modulusDesignOptimization/ansys/validators/channel/DP100_channelXZ_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 114316, 0, 3, 114319
"/dLight/modulusDesignOptimization/ansys/validators/channel/DP100_channelYZ1_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 9363, 0, 3, 9366
"/dLight/modulusDesignOptimization/ansys/validators/channel/DP100_channelYZ2_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 9582, 0, 3, 9585
"/dLight/modulusDesignOptimization/ansys/validators/channel/DP101_channelXZ_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 114316, 0, 3, 114319
"/dLight/modulusDesignOptimization/ansys/validators/channel/DP101_channelYZ1_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 9356, 0, 3, 9359
"/dLight/modulusDesignOptimization/ansys/validators/channel/DP101_channelYZ2_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 9505, 0, 3, 9508
"/dLight/modulusDesignOptimization/ansys/validators/channel/DP102_channelXZ_4,987-3,000-19,720-21,458-15,710-13,218-19,077-14,325.csv", "CSV", 114316, 0, 3, 114319
"/dLight/modulusDesignOptimization/ansys/validators/channel/DP103_channelXZ_4,997-3,000-19,186-18,659-10,599-13,102-16,353-12,071.csv", "CSV", 114316, 0, 3, 114319
"/dLight/modulusDesignOptimization/ansys/validators/channel/DP104_channelXZ_4,995-3,000-20,468-19,323-10,072-10,483-11,859-16,918.csv", "CSV", 114316, 0, 3, 114319
"/dLight/modulusDesignOptimization/ansys/validators/channel/DP99_channelXZ_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 114316, 0, 3, 114319
"/dLight/modulusDesignOptimization/ansys/validators/channel/DP99_channelYZ1_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 9444, 0, 3, 9447
"/dLight/modulusDesignOptimization/ansys/validators/channel/DP99_channelYZ2_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 9570, 0, 3, 9573
"/dLight/modulusDesignOptimization/ansys/validators/internal1/DP100_internalXZ1_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 692, 0, 3, 695
"/dLight/modulusDesignOptimization/ansys/validators/internal1/DP100_internalYZ1_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 4664, 0, 3, 4667
"/dLight/modulusDesignOptimization/ansys/validators/internal1/DP101_internalXZ1_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 627, 0, 3, 630
"/dLight/modulusDesignOptimization/ansys/validators/internal1/DP101_internalYZ1_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 4568, 0, 3, 4571
"/dLight/modulusDesignOptimization/ansys/validators/internal1/DP102_internalXZ1_4,987-3,000-19,720-21,458-15,710-13,218-19,077-14,325.csv", "CSV", 513, 0, 3, 516
"/dLight/modulusDesignOptimization/ansys/validators/internal1/DP103_internalXZ1_4,997-3,000-19,186-18,659-10,599-13,102-16,353-12,071.csv", "CSV", 513, 0, 3, 516
"/dLight/modulusDesignOptimization/ansys/validators/internal1/DP104_internalXZ1_4,995-3,000-20,468-19,323-10,072-10,483-11,859-16,918.csv", "CSV", 511, 0, 3, 514
"/dLight/modulusDesignOptimization/ansys/validators/internal1/DP99_internalXZ1_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 717, 0, 3, 720
"/dLight/modulusDesignOptimization/ansys/validators/internal1/DP99_internalYZ1_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 4756, 0, 3, 4759
"/dLight/modulusDesignOptimization/ansys/validators/internal2/DP100_internalXZ2_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 747, 0, 3, 750
"/dLight/modulusDesignOptimization/ansys/validators/internal2/DP100_internalYZ2_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 4774, 0, 3, 4777
"/dLight/modulusDesignOptimization/ansys/validators/internal2/DP101_internalXZ2_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 807, 0, 3, 810
"/dLight/modulusDesignOptimization/ansys/validators/internal2/DP101_internalYZ2_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 4802, 0, 3, 4805
"/dLight/modulusDesignOptimization/ansys/validators/internal2/DP102_internalXZ2_4,987-3,000-19,720-21,458-15,710-13,218-19,077-14,325.csv", "CSV", 960, 0, 3, 963
"/dLight/modulusDesignOptimization/ansys/validators/internal2/DP102_internalYZ2_4,987-3,000-19,720-21,458-15,710-13,218-19,077-14,325.csv", "CSV", 4972, 0, 3, 4975
"/dLight/modulusDesignOptimization/ansys/validators/internal2/DP103_internalXZ2_4,997-3,000-19,186-18,659-10,599-13,102-16,353-12,071.csv", "CSV", 1008, 0, 3, 1011
"/dLight/modulusDesignOptimization/ansys/validators/internal2/DP103_internalYZ2_4,997-3,000-19,186-18,659-10,599-13,102-16,353-12,071.csv", "CSV", 4987, 0, 3, 4990
"/dLight/modulusDesignOptimization/ansys/validators/internal2/DP104_internalXZ2_4,995-3,000-20,468-19,323-10,072-10,483-11,859-16,918.csv", "CSV", 914, 0, 3, 917
"/dLight/modulusDesignOptimization/ansys/validators/internal2/DP104_internalYZ2_4,995-3,000-20,468-19,323-10,072-10,483-11,859-16,918.csv", "CSV", 4948, 0, 3, 4951
"/dLight/modulusDesignOptimization/ansys/validators/internal2/DP99_internalXZ2_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 808, 0, 3, 811
"/dLight/modulusDesignOptimization/ansys/validators/internal2/DP99_internalYZ2_4,348-3,968-19,513-20,175-13,511-14,944-11,444-11,199.csv", "CSV", 4800, 0, 3, 4803
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP100_solidXZ_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 2881, 0, 3, 2884
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP100_solidYZ1_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 1928, 0, 3, 1931
"/dLight/modulusDesignOptimization/ansys/validators/solid/DP100_solidYZ2_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 1824, 0, 3, 1827
